Name,Calories,Protein,Carbs,Fat
Kardamon,331.0,11.0,70.0,7.0
Ananas,50.0,0.5,13.1,0.1
Mleko 2% tłuszczu - Mlekovita,49.0,3.0,4.7,2.0
Ryż parboiled długoziarnisty (nieugotowany) - Biedronka,365.0,7.9,79.0,1.4
Mąka pszenna typ 500,364.0,10.3,76.3,1.0
Surówka Colesław,67.0,0.8,4.2,4.4
Burak,43.0,1.6,9.6,0.2
Jajko kurze gotowane,155.0,12.6,1.1,10.6
Makaron pełnoziarnisty Pióra (nieugotowany),340.0,15.0,58.0,3.2
Pomidory w puszce,35.0,1.2,7.5,0.0
Ser Feta light Apetina - Arla,150.0,16.0,3.5,8.5
Nektarynka,50.0,0.9,11.8,0.2
Jajecznica,149.0,10.0,1.6,11.0
Serek homogenizowany naturalny - Pilos,125.0,11.0,1.0,7.5
Fasolka szparagowa (żółta),31.0,1.8,7.1,0.1
"Mleko 1,5%",45.0,3.0,4.8,1.5
Dymka cebula,32.0,1.8,7.3,0.2
Rozmaryn suszony (proszek),331.0,4.9,64.0,15.5
Kapusta pekińska,16.0,1.2,3.2,0.2
Mleko 2%,50.0,3.0,5.0,2.0
Jajko gotowane,155.0,12.6,1.1,10.6
"Kefir naturalny gęsty 1,5% tłuszczu - Tola",44.0,3.2,4.5,1.5
Orzechy nerkowca,553.0,18.2,30.2,43.9
Bazylia - liście,23.0,3.2,2.7,0.6
Ser Ricotta (częściowo odtłuszczony),138.0,11.4,5.1,7.9
Chleb razowy 100% żytni,211.0,4.7,41.5,1.6
Bułka tarta,363.0,9.2,75.6,2.2
Majonez,680.0,0.6,3.0,74.0
Płatki owsiane błyskawiczne,375.0,12.7,67.6,6.3
Tuńczyk w sosie własnym - Calvo,103.0,24.0,0.0,0.8
Piwo jasne pełne,49.0,0.5,3.8,0.0
Kolendra świeża,23.0,2.1,3.7,0.5
Marchew (gotowana),35.0,0.8,8.2,0.2
Jarmuż,36.0,3.3,6.1,0.7
Serek wiejski light,81.0,11.0,2.4,3.0
Chleb orkiszowy,249.0,8.3,44.2,5.9
Mieszanka studencka z migdałami,409.0,8.1,46.3,19.8
Pieprz kolorowy,251.0,10.4,63.9,6.4
Maliny,52.0,1.2,12.0,0.7
Bazylia świeża,23.0,3.2,2.7,0.6
Jogurt grecki,60.0,3.6,5.2,2.8
Daktyle suszone,290.0,2.0,74.0,0.4
Płatki żytnie,385.0,6.4,82.6,3.2
Otręby owsiane,361.0,18.0,45.6,7.7
Surówka z białej kapusty,77.0,1.6,7.0,5.2
Wino czerwone wytrawne,68.0,0.1,0.2,0.0
Dorsz,82.0,17.8,0.0,0.7
Serek śmietankowy - Almette,230.0,7.0,6.0,20.0
Ser sałatkowo - kanapkowy półtłusty - Favita,176.0,14.0,3.0,12.0
Sok z cytryny,22.0,0.4,6.9,0.2
Bułka,293.0,9.0,52.0,4.0
Musli owocowe - Sante,367.0,8.5,71.8,5.0
Bakłażan,25.0,1.0,5.9,0.2
Chleb żytni 100%,204.0,6.0,40.0,1.0
Fasola biała (konserwa),114.0,7.3,21.2,0.3
Hummus,176.0,8.0,14.0,10.0
Kawa zbożowa - Inka,342.0,4.5,73.0,0.2
Kolendra nasiona,298.0,12.4,55.0,17.8
Płatki migdałowe,600.0,23.3,16.6,50.0
Borówka amerykańska,61.0,1.0,15.0,1.0
Pierś z kurczaka bez skóry pieczona,79.0,16.8,2.2,0.4
Ogórek zielony,16.0,0.7,3.0,0.1
Margaryna extra z masłem - Delma,350.0,0.5,1.5,39.0
Polędwica łososiowa - Biedronka,102.0,21.0,0.8,1.6
Kurczak (udo bez skóry i kości),125.0,17.8,0.0,6.0
Kasza gryczana,355.0,12.6,69.3,3.1
"Mięso mielone drobiowe (kurczak, indyk)",143.0,19.0,0.0,7.5
Serek wiejski - Piątnica,97.0,11.0,2.0,5.0
Chleb orkiszowy bez polepszaczy i konserwantów - SPPIC Kraków,195.0,6.1,40.6,0.9
Sałata rzymska,17.0,1.2,3.3,0.3
Kurczak (pierś duszona),151.0,29.0,0.0,3.0
Kasza kuskus,342.0,13.3,67.9,1.7
Ogórki kiszone,11.0,0.3,2.3,0.2
Czekolada gorzka (70- 85% zawartości kakao),598.0,7.8,45.9,42.6
Kasza jęczmienna (ugotowana),123.0,2.3,28.2,0.4
Jajko sadzone,196.0,13.6,0.8,14.8
Tortilla pełnoziarnista,292.0,8.9,46.6,9.0
Ciecierzyca surowa,378.0,20.5,63.0,6.0
Ser żółty Edam Rycki,355.0,26.0,2.0,27.0
Rosół z kury z makaronem,148.0,17.0,11.0,4.0
Mleko bez laktozy 1.5%,44.0,3.0,4.7,1.5
Danone Activia Naturalna do picia,37.0,3.3,3.9,0.9
Fasola czerwona (konserwa),99.0,5.6,16.0,0.4
Mleko 0% tłuszczu,34.0,3.4,5.0,0.1
Tymianek świeży,101.0,1.7,24.0,5.6
Śliwka (świeży owoc),49.0,0.6,11.7,0.3
Jajo kurze (białko),52.0,10.9,0.7,0.2
Chleb razowy ze słonecznikiem - Biedronka,257.0,6.4,43.4,5.6
Mąka kukurydziana,365.0,9.3,76.3,3.9
Goździki,323.0,6.0,30.0,20.1
Orzechy pistacjowe,606.0,20.3,25.0,48.5
Sok pomarańczowy,47.0,0.7,11.0,0.2
Makaron pełnoziarnisty (nieugotowany),343.0,12.0,65.0,2.1
Chleb wieloziarnisty,215.0,9.5,35.0,4.1
Olej słonecznikowy kujawski,900.0,0.0,0.0,100.0
Wódka,231.0,0.0,0.0,0.0
Kasza gryczana prażona,355.0,12.4,66.4,3.2
Kotlet Schabowy Panierowany,318.0,15.0,11.5,25.0
Cykoria,17.0,0.9,4.0,0.1
Nasiona Chia - szałwia hiszpańska (suszone),490.0,15.6,43.8,30.8
Majeranek suszony,271.0,12.7,60.6,7.0
Chleb tostowy pełnoziarnisty - Kaufland,271.0,9.9,46.0,4.5
"Maślanka 1,5%",50.0,3.4,4.9,1.5
Bułka wieloziarnista - Lidl,199.0,9.0,29.0,5.0
Bulion,12.0,2.0,1.2,0.1
Jogurt naturalny - Piątnica,58.0,4.0,5.9,2.0
Masło orzechowe z orzeszków ziemnych,609.0,26.0,16.0,49.0
Imbir (korzeń),80.0,1.8,17.8,0.8
Twaróg półtłusty - Delikate,116.0,16.0,4.0,4.0
Kalafior (ugotowany),19.0,1.8,3.7,0.1
Musli tropikalne - Axa,370.0,8.9,64.0,6.8
Tunczyk w wodzie (konserwowany),106.0,24.0,0.0,1.0
Jogurt naturalny gęsty - Bakoma,60.0,3.6,5.2,2.8
Mąka żytnia,349.0,10.9,75.4,1.5
Chleb baltonowski,248.0,5.4,52.0,1.9
Ciecierzyca (konserwowa),128.0,6.1,18.5,3.0
Wafle ryżowe,374.0,8.0,81.0,2.9
Ryż Basmati (ugotowany),115.0,3.0,25.0,0.4
Bułka razowa,290.0,10.0,50.0,5.0
Papryka zielona,22.0,0.9,4.6,0.2
Zupa pomidorowa,37.0,3.6,2.7,2.1
Kotlet mielony (smażony),254.0,18.6,6.4,17.9
Pesto zielone - Sottile Gusto,401.0,4.7,7.6,38.6
Pomidory suszone,258.0,14.1,55.8,3.0
Szynka drobiowa,123.0,18.2,0.0,5.6
Siemię lniane,534.0,18.3,28.9,42.2
Coca Cola,42.0,0.1,10.6,0.0
Serek wiejski lekki,81.0,11.0,2.4,3.0
Sok marchwiowy jednodniowy,37.0,0.4,8.7,0.1
Makaron pełnoziarnisty Spaghetti (nieugotowany) - Lubella,340.0,15.0,58.0,3.2
Orzechy laskowe,666.0,15.0,16.7,60.8
Mięta - liście,44.0,3.3,8.4,0.7
Mix Sałat,16.0,1.2,1.4,0.1
Mąka ziemniaczana,357.0,6.9,83.1,0.3
Masło (pozostałe),679.0,0.5,0.6,75.0
Orzechy brazylijskie,659.0,14.3,11.7,67.1
Nasiona siemienia lnianego,513.0,19.8,10.0,41.9
Płatki kukurydziane Corn Flakes - Nestle,365.0,6.6,87.1,0.6
Kawa rozpuszczalna z mlekiem i cukrem,36.0,0.6,7.9,0.0
Piwo,43.0,0.5,3.6,0.0
Imbir mielony,347.0,9.1,65.0,6.0
Cebula (smażona),132.0,1.0,7.9,10.8
Mleko kokosowe,185.0,1.6,2.0,19.0
Ziemniaki młode (gotowane),71.0,1.8,16.3,0.1
Schab (pieczony),146.0,21.0,3.0,5.5
Warzywa na patelnię z przyprawą orientalną - Hortex,37.0,2.4,4.7,0.5
Jogurt naturalny - Biedronka,60.0,4.5,6.0,2.0
Kawa rozpuszczlana + 50 ml mleka,10.0,0.7,1.0,0.3
Brokuły gotowane,23.0,2.2,3.8,0.3
Twarożek Domowy Grani naturalny - Piątnica,90.0,11.0,2.4,4.0
Kakao 16% tłuszczu (proszek),360.0,3.0,75.0,15.8
Twaróg naturalny chudy - Pilos,83.0,17.0,3.8,0.0
Szynka z piersi kurczaka,85.0,16.2,1.5,1.6
Ser pleśniowy Bleu - Lazur,370.0,19.0,1.4,32.0
Makaron pełnoziarnisty Penne - Lubella (nieugotowany),351.0,13.0,70.0,1.4
Migdały płatki,615.0,24.1,10.0,54.1
Sernik,321.0,5.5,25.5,22.5
Ser biały półtłusty,128.0,20.0,3.0,4.0
Pomidory w puszce,32.0,1.6,7.3,0.3
Ziemniaki gotowane tłuczone,81.0,1.9,15.6,1.5
Serek homogenizowany,98.0,9.0,4.0,6.0
Rosół drobiowy,46.0,5.0,1.0,2.6
Wino białe wytrawne,66.0,0.1,0.6,0.0
Jabłko Gala,46.0,0.5,12.0,0.5
Kukurydza słodka (konserwowa) - Nasza Spiżarnia,80.0,3.0,11.0,2.0
Jogurt naturalny Activia - Danone,69.0,4.5,5.1,3.4
Ser Mozzarella w zalewie - Sottile Gusto,251.0,18.0,2.0,19.0
Wafel ryżowy naturalny,387.0,8.2,81.5,2.8
"Maślanka 0,5% tłuszczu",37.0,3.3,4.7,0.5
Jajo kurze (żółtko),322.0,15.9,3.6,26.5
Soczewica czerwona (surowa),341.0,25.4,57.5,3.0
Chleb żytni pełnoziarnisty,185.0,4.6,37.6,1.6
Ryż biały (nieugotowany),350.0,6.7,78.5,0.7
Chleb słonecznikowy,245.0,6.9,39.7,6.0
Kawa z mlekiem (2 łyżki mleka 0%),5.0,0.5,0.1,0.0
Oliwa - Tesco,823.0,0.0,0.0,91.0
Przyprawa do kuchni włoskiej - Kamis,213.0,10.0,32.0,1.4
Len mielony,253.0,40.0,3.0,9.0
Ser Edamski - Światowid,347.0,26.0,0.0,27.0
Herbata czerwona (parzona),1.0,1.0,0.0,1.0
Pomidory koktajlowe,18.0,0.1,4.0,0.1
Mleko Łaciate 2% - Mlekpol,50.0,3.2,4.7,2.0
Mizeria,60.0,1.3,3.8,4.8
Dorsz świeży,69.0,16.5,0.0,0.3
Olej kokosowy,884.0,0.0,0.0,100.0
Jagody,57.0,0.7,14.5,0.3
Mąka pszenna pełnoziarnista,332.0,9.6,74.5,1.9
Siemię lniane - Sante,513.0,19.8,1.0,41.9
Burak gotowany,44.0,1.7,10.0,0.2
Chleb żytni na zakwasie,213.0,3.9,44.8,1.1
Makaron jajeczny (ugotowany),146.0,5.7,27.1,1.6
Pomidory suszone w oleju,218.0,5.1,23.3,14.1
Kapusta czerwona,31.0,1.9,6.7,0.2
Kotlet z piersi kurczaka (w panierce smażony),260.0,21.0,6.9,17.2
Śmietana 18% tłuszczu,189.0,2.5,4.4,18.0
Jajecznica na maśle,216.0,13.0,1.0,18.0
Masło klarowane,883.0,0.0,0.0,100.0
Ser Mozzarella,248.0,17.5,1.5,19.0
Przyprawa ziele angielskie,259.0,6.2,70.6,8.8
Bułka fitness - Lidl,270.0,9.5,49.0,4.2
Mieszanka warzywna chińska - Mroźna Kraina,37.0,2.0,5.7,0.4
Ser Ementaler pełnotłusty,383.0,28.8,0.1,28.7
Pierogi ruskie,215.0,6.2,37.9,3.8
Szynka parmeńska Carpaccio,222.0,27.5,1.0,12.0
Szynka z indyka,126.0,18.0,2.0,4.8
Zupa jarzynowa,34.0,1.0,3.9,1.6
Kiełbasa krakowska sucha,326.0,25.6,0.0,24.8
Filet z kurczaka,99.0,21.5,0.0,1.3
Kalarepa,27.0,1.7,6.2,0.1
Kakao (proszek),459.0,18.2,50.6,21.7
Kefir naturalny - Krasnystaw,57.0,4.0,5.7,2.0
Sok pomidorowy,18.0,0.8,3.8,0.2
Delma z masłem,350.0,0.5,1.5,39.0
Naleśniki z mąki pszennej,212.0,8.1,34.5,4.9
Margaryna Rama Classic,532.0,0.5,0.5,60.0
Truskawki (mrożone),32.0,0.7,7.5,0.4
Jabłko Jonagold,55.0,0.5,12.0,0.5
Szynka Delikatna łagodnie wędzona Kraina Wędlin - Biedronka,208.0,21.0,1.0,14.0
Pesto zielone - Tesco,411.0,4.0,3.0,42.0
Pierś z kurczaka,99.0,21.5,0.0,1.3
Płatki owsiane gotowane (owsianka na wodzie),74.0,2.0,12.0,1.0
Pierś z kurczaka ugotowana,151.0,32.9,0.0,2.0
Czereśnie,63.0,1.0,14.6,0.3
Chleb pszenno-żytni z ziarnami,243.0,7.0,45.5,2.8
Bigos,112.0,10.4,2.4,7.2
Margaryna Benecol,540.0,0.0,0.0,60.0
Ciasto jabłkowe (szarlotka),265.0,2.4,37.1,12.5
Pieczarki duszone,38.0,1.9,2.6,1.9
Twaróg chudy - Biedronka,101.0,20.0,4.0,0.5
Tuńczyk kawałki w oleju - Amerigo,287.0,20.0,0.0,23.0
Sałatka jarzynowa (z majonezem),139.0,2.9,8.2,11.4
Mąka pszenna typ 550,361.0,12.0,72.5,1.7
Makaron Pełnoziarnisty całe ziarno (nieugotowany),345.0,15.2,68.0,1.3
Fasola szparagowa zielona gotowana,35.0,1.9,7.9,0.3
Groszek konserwowy - Aldi,63.0,4.9,12.8,0.2
Kurczak pieczone udko,218.0,24.0,0.0,13.0
Kapusta biała (surowa),33.0,1.3,7.4,0.2
Chleb 7 zbóż - Biedronka,206.0,5.2,38.0,1.4
Serek wiejski naturalny lekki - Bieluch,81.0,9.0,4.5,3.0
Warzywa na patelnię z przyprawą włoską - Hortex,49.0,2.7,7.1,0.9
Fasola czerwona (konserwowa) - Pudliszki,89.0,5.5,15.7,0.4
Sok 100% pomarańcza z miąższem,43.0,0.6,9.5,0.5
Masło osełkowe ekstra - Mleczna Dolina,753.0,0.6,0.8,83.0
Filet z kurczaka smażony bez panierki,239.0,24.6,0.5,15.7
Borówka,57.0,0.7,14.5,0.3
Filet z kurczaka gotowany,131.0,26.0,0.0,2.0
Pieczywo chrupkie 7 ziaren - Sonko,368.0,9.0,76.6,1.5
Chleb pełnoziarnisty,216.0,5.6,43.6,1.8
Kawa parzona z cukrem,56.0,1.2,10.0,1.1
Kukurydza konserwowa Nasza Spiżarnia Biedronka,80.0,3.0,11.0,2.0
Czekolada mleczna,535.0,8.0,59.0,30.0
Sól,0.0,0.0,0.0,0.0
Mąka pszenna,332.0,11.0,63.0,2.3
Grejpfrut czerwony,42.0,0.8,10.7,0.1
Łosoś świeży,127.0,20.5,0.0,4.4
Zupa ogórkowa,48.0,3.4,5.0,2.1
Serek topiony,215.0,16.0,16.0,10.0
Łosoś filet,201.0,19.9,0.0,13.6
Melon,33.0,0.8,8.0,0.2
Mleko 2% - Pilos,50.0,4.0,5.0,2.0
Indyk (mięso mielone),180.0,16.9,0.0,12.5
Ser Gouda Serenada,339.0,28.2,0.1,26.0
Kasza jęczmienna,338.0,10.4,69.8,1.4
Ogórek małosolny,11.0,0.3,2.3,0.2
Sałatka grecka,105.0,3.0,3.2,9.5
"Mleko prawdziwe 1,5% - Biedronka",44.0,3.0,4.7,1.5
Schab (surowy),128.0,24.0,0.4,3.5
Sok jabłkowy,46.0,0.1,11.3,0.1
Schab Pieczony Kraina Wędlin - Biedronka,146.0,21.0,3.0,5.5
Dynia,26.0,1.0,6.5,0.1
Szynka z indyka,132.0,19.6,0.0,5.2
Ziemniaki gotowane - puree,81.0,1.9,15.6,1.5
Zupa pomidorowa z ryżem,71.0,1.5,15.2,0.4
Kasza jęczmienna pęczak (ugotowana),123.0,2.0,28.0,0.4
Pierś z kurczaka wędzona,107.0,23.0,0.0,0.5
Kasza kuskus (ugotowana),112.0,6.0,23.2,0.2
Pieczywo chrupkie lekkie razowe - Sonko,363.0,8.6,74.2,1.5
Pieczarki smażone,246.0,3.4,3.3,24.3
Przyprawa Cząber,272.0,6.7,68.7,5.9
Przyprawa gałka muszkatołowa,0.0,0.0,0.0,0.0
Chrzan,81.0,4.5,18.1,0.6
Dżem truskawkowy - Spiżarnia Natury,147.0,0.5,35.0,0.5
Masło roślinne,706.0,0.3,0.4,80.0
Ryż (ugotowany),115.0,3.0,25.0,0.4
Wafle ryżowe naturalne - Kupiec,374.0,8.5,73.3,3.3
Jogurt,62.0,5.1,6.2,1.5
Buraki tarte,44.0,1.8,9.5,0.1
Sos sojowy ciemny - Tao Tao,27.0,3.8,2.7,0.1
Papryka czerwona,26.0,1.0,6.0,0.3
Ser biały chudy,113.0,25.0,2.2,0.5
Bagietka pełnoziarnista,260.0,8.0,54.0,1.0
Fasola czarna (ziarno suche),341.0,21.6,62.4,1.4
Bułka fitness,260.0,10.4,52.0,2.6
Czekolada gorzka - E. Wedel,502.0,8.4,39.0,32.0
Płatki kukurydziane,399.0,7.7,88.8,0.3
Zupa pomidorowa z makaronem,158.0,8.9,17.3,5.8
Dżem truskawkowy niskosłodzony - Rapsodia,158.0,0.4,38.0,0.2
Serek Danio,112.0,5.2,15.8,3.0
Kawa rozpuszczalna Nescafe Classic - Nestle,118.0,7.8,3.1,0.2
Twaróg Klinek 0% tłuszczu - Biedronka,96.0,19.8,3.5,0.3
Kawa rozpuszczalna Creme Sensazione - Nescafe,120.0,7.0,3.0,0.2
Fasola czerwona konserwowa - Nasza Spiżarnia,101.0,8.1,12.0,0.6
Kukurydza ugotowana (bez soli),96.0,3.4,21.0,1.5
Szynka z kurczaka,117.0,20.0,3.0,2.8
"Mleko 0,5% Mleczna Dolina - Biedronka",35.0,3.0,4.7,0.5
Świeży sok jabłkowy,47.0,0.3,10.4,0.3
Szynka konserwowa - Kraina Wędlin,109.0,19.1,1.0,2.8
Makaron jajeczny Nitki (ugotowany),140.0,4.9,28.7,0.7
Udko z kurczaka bez skóry (gotowane),125.0,18.0,0.0,6.0
Masło Ekstra 80 %,744.0,1.0,1.0,82.0
Makaron Spaghetti (ugotowany),154.0,7.0,30.0,1.0
Chleb Całe Ziarno - Biedronka,221.0,6.6,41.0,1.5
Orzeszki ziemne prażone bez soli,585.0,23.7,11.5,49.7
Makaron razowy (ugotowany),140.0,6.0,26.0,1.0
Ser Mozarella - Lidl,245.0,18.0,2.0,19.0
Lubczyk - liście,42.0,3.5,5.0,0.8
Kawa czarna mielona (do zaparzenia),2.0,0.0,0.0,0.0
Ser Blue z niebieską pleśnią,357.0,18.5,1.0,31.0
